task_id,domain,L,U,length,final_median,inside
10600,movie_year,1984.0,1997.703125,0.48594447544642855,1996.0,True
10605,movie_year,2004.0,2010.0,0.9369369369369369,2011.0,False
10609,movie_year,1955.0,1997.0,0.9819819819819819,2002.0,False
10608,movie_year,1963.0,1990.0,0.4736842105263157,1977.0,True
10603,movie_year,1990.475,2008.0,0.42857142857142855,2001.0,True
10601,movie_year,1963.0,1986.0,0.8571428571428571,1975.0,True
10602,movie_year,1954.0,1992.1,0.9441468253968254,1968.0,True
10606,movie_year,1943.0,1964.584375,0.9440321180555554,1960.0,True
10607,movie_year,1975.0,1986.13125,0.10163444694694701,1981.0,True
10604,movie_year,1995.0,2006.0,0.49557522123893805,1999.0,True
10611,movie_year,2006.475,2012.0,0.8627790178571431,2009.0,True
10612,movie_year,1998.0,2012.0,0.9819819819819819,2006.0,True
10619,movie_year,1948.0,1988.0,0.25,1961.0,True
10617,movie_year,1973.0,1987.0,0.9369369369369369,1980.0,True
10618,movie_year,1968.0,1992.0,0.871559633027523,1980.0,True
10610,movie_year,1992.0,1998.0,1.0,1994.0,True
10614,movie_year,1999.0,2005.0,0.8672566371681416,2002.0,True
10615,movie_year,1945.0,1970.0,0.48648648648648646,1956.0,True
10613,movie_year,1978.2375,2002.0328125,0.9159318181818182,1995.0,True
10616,movie_year,1986.0,1999.0,0.4954954954954955,1996.0,True
