"task_id","domain_id","prompt","possible_answers","correct_answer","path_to_media"
301,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","right","cup_magic/ball_trick_1.mp4"
302,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","left","cup_magic/ball_trick_2.mp4"
303,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","left","cup_magic/ball_trick_3.mp4"
304,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","middle","cup_magic/ball_trick_4.mp4"
305,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","right","cup_magic/ball_trick_5.mp4"
306,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","left","cup_magic/ball_trick_6.mp4"
307,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","middle","cup_magic/ball_trick_7.mp4"
308,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","left","cup_magic/ball_trick_8.mp4"
309,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","right","cup_magic/ball_trick_9.mp4"
310,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","right","cup_magic/ball_trick_10.mp4"
311,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","middle","cup_magic/ball_trick_11.mp4"
312,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","right","cup_magic/ball_trick_12.mp4"
313,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","middle","cup_magic/ball_trick_13.mp4"
314,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","middle","cup_magic/ball_trick_14.mp4"
315,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","right","cup_magic/ball_trick_15.mp4"
316,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","left","cup_magic/ball_trick_16.mp4"
317,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","right","cup_magic/ball_trick_17.mp4"
318,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","middle","cup_magic/ball_trick_18.mp4"
319,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","right","cup_magic/ball_trick_19.mp4"
320,3,"Under which cup is the ball located at the end of the trick?","left,middle,right","right","cup_magic/ball_trick_20.mp4"
1201,12,"In which direction will the ball go?","left,right","left","penalty_kick/Pen1.mp4"
1202,12,"In which direction will the ball go?","left,right","left","penalty_kick/Pen2.mp4"
1203,12,"In which direction will the ball go?","left,right","right","penalty_kick/Pen3.mp4"
